,County,PCP,Year,Month
543,Calaveras County,6.39,2016,Dec
544,Calaveras County,17.72,2017,Jan
545,Calaveras County,15.63,2017,Feb
546,Calaveras County,4.18,2017,Mar
547,Calaveras County,5.63,2017,Apr
548,Calaveras County,0.54,2017,May
549,Calaveras County,0.39,2017,Jun
550,Calaveras County,0.0,2017,Jul
551,Calaveras County,0.04,2017,Aug
552,Calaveras County,0.18,2017,Sep
553,Calaveras County,0.54,2017,Oct
554,Calaveras County,6.24,2017,Noc
555,Calaveras County,0.46,2017,Dec
556,Calaveras County,5.28,2018,Jan
557,Calaveras County,0.83,2018,Feb
558,Calaveras County,11.27,2018,Mar
559,Calaveras County,4.16,2018,Apr
560,Calaveras County,0.54,2018,May
561,Calaveras County,0.0,2018,Jun
562,Calaveras County,0.02,2018,Jul
563,Calaveras County,0.0,2018,Aug
564,Calaveras County,0.01,2018,Sep
565,Calaveras County,0.66,2018,Oct
566,Calaveras County,7.1,2018,Noc
567,Calaveras County,2.76,2018,Dec
568,Calaveras County,7.7,2019,Jan
569,Calaveras County,14.16,2019,Feb
570,Calaveras County,7.91,2019,Mar
571,Calaveras County,1.83,2019,Apr
572,Calaveras County,5.4,2019,May
573,Calaveras County,0.04,2019,Jun
574,Calaveras County,0.01,2019,Jul
575,Calaveras County,0.0,2019,Aug
576,Calaveras County,0.77,2019,Sep
577,Calaveras County,0.01,2019,Oct
578,Calaveras County,2.01,2019,Noc
579,Calaveras County,8.41,2019,Dec
580,Calaveras County,2.11,2020,Jan
581,Calaveras County,0.03,2020,Feb
582,Calaveras County,6.77,2020,Mar
583,Calaveras County,2.97,2020,Apr
584,Calaveras County,1.94,2020,May
585,Calaveras County,0.07,2020,Jun
586,Calaveras County,0.01,2020,Jul
587,Calaveras County,0.02,2020,Aug
588,Calaveras County,0.04,2020,Sep
589,Calaveras County,0.0,2020,Oct
590,Colusa County,2.14,2011,Jan
591,Colusa County,5.62,2011,Feb
592,Colusa County,6.96,2011,Mar
593,Colusa County,0.84,2011,Apr
594,Colusa County,1.63,2011,May
595,Colusa County,1.52,2011,Jun
596,Colusa County,0.0,2011,Jul
597,Colusa County,0.0,2011,Aug
598,Colusa County,0.04,2011,Sep
599,Colusa County,1.62,2011,Oct
600,Colusa County,1.81,2011,Noc
601,Colusa County,0.17,2011,Dec
602,Colusa County,4.66,2012,Jan
603,Colusa County,1.56,2012,Feb
604,Colusa County,5.04,2012,Mar
605,Colusa County,2.7,2012,Apr
606,Colusa County,0.02,2012,May
607,Colusa County,0.11,2012,Jun
608,Colusa County,0.0,2012,Jul
609,Colusa County,0.0,2012,Aug
610,Colusa County,0.0,2012,Sep
611,Colusa County,1.47,2012,Oct
612,Colusa County,6.01,2012,Noc
613,Colusa County,8.38,2012,Dec
614,Colusa County,1.54,2013,Jan
615,Colusa County,0.82,2013,Feb
616,Colusa County,1.51,2013,Mar
617,Colusa County,0.82,2013,Apr
618,Colusa County,0.52,2013,May
619,Colusa County,0.45,2013,Jun
620,Colusa County,0.01,2013,Jul
621,Colusa County,0.0,2013,Aug
622,Colusa County,1.04,2013,Sep
623,Colusa County,0.01,2013,Oct
624,Colusa County,1.09,2013,Noc
625,Colusa County,0.41,2013,Dec
626,Colusa County,0.59,2014,Jan
627,Colusa County,6.19,2014,Feb
628,Colusa County,3.51,2014,Mar
629,Colusa County,1.34,2014,Apr
630,Colusa County,0.15,2014,May
631,Colusa County,0.01,2014,Jun
632,Colusa County,0.0,2014,Jul
633,Colusa County,0.08,2014,Aug
634,Colusa County,0.82,2014,Sep
635,Colusa County,0.68,2014,Oct
636,Colusa County,3.0,2014,Noc
637,Colusa County,12.3,2014,Dec
638,Colusa County,0.18,2015,Jan
639,Colusa County,3.66,2015,Feb
640,Colusa County,0.54,2015,Mar
641,Colusa County,1.78,2015,Apr
642,Colusa County,0.08,2015,May
643,Colusa County,0.02,2015,Jun
644,Colusa County,0.12,2015,Jul
645,Colusa County,0.06,2015,Aug
646,Colusa County,0.1,2015,Sep
647,Colusa County,0.07,2015,Oct
648,Colusa County,2.16,2015,Noc
649,Colusa County,3.15,2015,Dec
650,Colusa County,6.5,2016,Jan
651,Colusa County,0.83,2016,Feb
652,Colusa County,6.61,2016,Mar
653,Colusa County,0.79,2016,Apr
654,Colusa County,0.8,2016,May
655,Colusa County,0.13,2016,Jun
656,Colusa County,0.0,2016,Jul
657,Colusa County,0.0,2016,Aug
658,Colusa County,0.0,2016,Sep
659,Colusa County,2.73,2016,Oct
660,Colusa County,3.12,2016,Noc
661,Colusa County,3.98,2016,Dec
662,Colusa County,10.07,2017,Jan
663,Colusa County,8.79,2017,Feb
664,Colusa County,2.32,2017,Mar
665,Colusa County,2.48,2017,Apr
666,Colusa County,0.07,2017,May
667,Colusa County,0.63,2017,Jun
668,Colusa County,0.0,2017,Jul
669,Colusa County,0.0,2017,Aug
670,Colusa County,0.03,2017,Sep
671,Colusa County,0.24,2017,Oct
672,Colusa County,2.77,2017,Noc
673,Colusa County,0.04,2017,Dec
674,Colusa County,3.94,2018,Jan
675,Colusa County,0.19,2018,Feb
676,Colusa County,3.72,2018,Mar
