County,Date,PCP
Stanislaus County,201409,0.22
Stanislaus County,201410,0.51
Stanislaus County,201411,1.52
Stanislaus County,201412,6.24
Stanislaus County,201501,0.02
Stanislaus County,201502,1.96
Stanislaus County,201503,0.23
Stanislaus County,201504,0.77
Stanislaus County,201505,0.23
Stanislaus County,201506,0.02
Stanislaus County,201507,0.01
Stanislaus County,201508,0.01
Stanislaus County,201509,0.01
Stanislaus County,201510,0.39
Stanislaus County,201511,2.51
Stanislaus County,201512,2.47
Stanislaus County,201601,5.05
Stanislaus County,201602,0.63
Stanislaus County,201603,4.07
Stanislaus County,201604,1.94
Stanislaus County,201605,0.33
Stanislaus County,201606,0
Stanislaus County,201607,0
Stanislaus County,201608,0
Stanislaus County,201609,0
Stanislaus County,201610,2.54
Stanislaus County,201611,1.2
Stanislaus County,201612,2.28
Stanislaus County,201701,6.98
Stanislaus County,201702,4.92
Stanislaus County,201703,1.8
Stanislaus County,201704,1.55
Stanislaus County,201705,0.12
Stanislaus County,201706,0.02
Stanislaus County,201707,0
Stanislaus County,201708,0
Stanislaus County,201709,0.03
Stanislaus County,201710,0.12
Stanislaus County,201711,1.21
Stanislaus County,201712,0.07
Stanislaus County,201801,2.89
Stanislaus County,201802,0.49
Stanislaus County,201803,3.27
Stanislaus County,201804,1.77
Stanislaus County,201805,0.12
Stanislaus County,201806,0
Stanislaus County,201807,0
Stanislaus County,201808,0
Stanislaus County,201809,0
Stanislaus County,201810,0.16
Stanislaus County,201811,2.84
Stanislaus County,201812,2.03
Stanislaus County,201901,2.89
Stanislaus County,201902,4.82
Stanislaus County,201903,3.01
Stanislaus County,201904,0.35
Stanislaus County,201905,1.89
Stanislaus County,201906,0
Stanislaus County,201907,0
Stanislaus County,201908,0
Stanislaus County,201909,0.09
Stanislaus County,201910,0
Stanislaus County,201911,0.69
Stanislaus County,201912,4.03
Stanislaus County,202001,0.92
Stanislaus County,202002,0
Stanislaus County,202003,2.46
Stanislaus County,202004,1.22
Stanislaus County,202005,0.31
Stanislaus County,202006,0.01
Stanislaus County,202007,0
Stanislaus County,202008,0.01
Stanislaus County,202009,0
Stanislaus County,202010,0
Sutter County,201101,1.49
Sutter County,201102,4.11
Sutter County,201103,6.59
Sutter County,201104,0.45
Sutter County,201105,1.97
Sutter County,201106,1.1
Sutter County,201107,0
Sutter County,201108,0
Sutter County,201109,0.02
Sutter County,201110,1.28
Sutter County,201111,1.02
Sutter County,201112,0.14
Sutter County,201201,3.61
Sutter County,201202,1.05
Sutter County,201203,4.31
Sutter County,201204,2.44
Sutter County,201205,0.01
Sutter County,201206,0.06
Sutter County,201207,0.01
Sutter County,201208,0
Sutter County,201209,0
Sutter County,201210,1.38
Sutter County,201211,4.32
Sutter County,201212,5.59
Sutter County,201301,0.87
Sutter County,201302,0.47
Sutter County,201303,1.67
Sutter County,201304,0.7
Sutter County,201305,0.31
Sutter County,201306,0.56
Sutter County,201307,0
Sutter County,201308,0
Sutter County,201309,0.77
Sutter County,201310,0.03
Sutter County,201311,0.99
Sutter County,201312,0.2
Sutter County,201401,0.31
Sutter County,201402,4.55
Sutter County,201403,2.21
Sutter County,201404,1.21
Sutter County,201405,0.14
Sutter County,201406,0
Sutter County,201407,0
Sutter County,201408,0.04
Sutter County,201409,0.45
Sutter County,201410,0.45
Sutter County,201411,1.86
Sutter County,201412,8.81
Sutter County,201501,0.1
Sutter County,201502,2.49
Sutter County,201503,0.17
Sutter County,201504,1.52
Sutter County,201505,0.03
Sutter County,201506,0.03
Sutter County,201507,0.01
Sutter County,201508,0.01
Sutter County,201509,0.04
Sutter County,201510,0.08
Sutter County,201511,2.36
Sutter County,201512,2.03
Sutter County,201601,5.42
Sutter County,201602,0.72
Sutter County,201603,6.8
Sutter County,201604,0.59
Sutter County,201605,0.47
Sutter County,201606,0.01
Sutter County,201607,0
Sutter County,201608,0
Sutter County,201609,0
Sutter County,201610,2.65
Sutter County,201611,1.59
Sutter County,201612,3.14
Sutter County,201701,9.03
Sutter County,201702,7.47
Sutter County,201703,2.63
Sutter County,201704,2.62
Sutter County,201705,0.14
Sutter County,201706,0.47
Sutter County,201707,0
Sutter County,201708,0
Sutter County,201709,0.01
Sutter County,201710,0.29
Sutter County,201711,2.65
Sutter County,201712,0.1
Sutter County,201801,4.38
Sutter County,201802,0.43
Sutter County,201803,4.96
Sutter County,201804,2.37
Sutter County,201805,0.13
Sutter County,201806,0
Sutter County,201807,0
Sutter County,201808,0
Sutter County,201809,0
Sutter County,201810,0.24
Sutter County,201811,2.57
Sutter County,201812,2.53
Sutter County,201901,5.22
Sutter County,201902,9.07
Sutter County,201903,3.94
Sutter County,201904,0.57
Sutter County,201905,3.07
Sutter County,201906,0.02
Sutter County,201907,0
Sutter County,201908,0
Sutter County,201909,0.34
Sutter County,201910,0
Sutter County,201911,0.53
Sutter County,201912,5.47
Sutter County,202001,1.45
Sutter County,202002,0.01
Sutter County,202003,1.27
Sutter County,202004,0.85
Sutter County,202005,0.78
Sutter County,202006,0.02
Sutter County,202007,0
Sutter County,202008,0.05
Sutter County,202009,0
Sutter County,202010,0
Tehama County,201101,1.79
Tehama County,201102,4.67
Tehama County,201103,9.91
Tehama County,201104,1.44
Tehama County,201105,3.14
Tehama County,201106,2
Tehama County,201107,0.02
Tehama County,201108,0
Tehama County,201109,0.09
Tehama County,201110,2.79
Tehama County,201111,3.46
Tehama County,201112,0.27
Tehama County,201201,6.17
Tehama County,201202,2.26
Tehama County,201203,9.03
Tehama County,201204,3.73
Tehama County,201205,0.36
Tehama County,201206,0.49
Tehama County,201207,0.01
Tehama County,201208,0.01
Tehama County,201209,0
Tehama County,201210,1.34
Tehama County,201211,7.86
Tehama County,201212,11.83
Tehama County,201301,1.37
Tehama County,201302,0.68
Tehama County,201303,2.22
Tehama County,201304,1.37
Tehama County,201305,0.85
Tehama County,201306,1.17
Tehama County,201307,0.04
Tehama County,201308,0.04
Tehama County,201309,1.11
Tehama County,201310,0.27
Tehama County,201311,1.92
Tehama County,201312,0.38
Tehama County,201401,0.5
Tehama County,201402,8.55
Tehama County,201403,7.79
Tehama County,201404,1.3
Tehama County,201405,0.51
Tehama County,201406,0.04
